"date	vehicle_category	maker	electric_vehicles_sold"
"3/1/2023	4-Wheelers	Mercedes -Benz AG	10"
"3/1/2024	4-Wheelers	Mercedes -Benz AG	31"
"4/1/2021	4-Wheelers	MG Motor	118"
"4/1/2022	4-Wheelers	MG Motor	177"
"4/1/2023	4-Wheelers	MG Motor	265"
"5/1/2021	4-Wheelers	MG Motor	39"
"5/1/2022	4-Wheelers	MG Motor	181"
"5/1/2023	4-Wheelers	MG Motor	351"
"6/1/2021	4-Wheelers	MG Motor	128"
"6/1/2022	4-Wheelers	MG Motor	173"
"6/1/2023	4-Wheelers	MG Motor	877"
"7/1/2021	4-Wheelers	MG Motor	232"
"7/1/2022	4-Wheelers	MG Motor	194"
"7/1/2023	4-Wheelers	MG Motor	935"
"8/1/2021	4-Wheelers	MG Motor	303"
"8/1/2022	4-Wheelers	MG Motor	234"
"8/1/2023	4-Wheelers	MG Motor	913"
"9/1/2021	4-Wheelers	MG Motor	263"
"9/1/2022	4-Wheelers	MG Motor	207"
"9/1/2023	4-Wheelers	MG Motor	676"
"10/1/2021	4-Wheelers	MG Motor	194"
"10/1/2022	4-Wheelers	MG Motor	338"
"10/1/2023	4-Wheelers	MG Motor	714"
"11/1/2021	4-Wheelers	MG Motor	118"
"11/1/2022	4-Wheelers	MG Motor	464"
"11/1/2023	4-Wheelers	MG Motor	723"
"12/1/2021	4-Wheelers	MG Motor	99"
"12/1/2022	4-Wheelers	MG Motor	363"
"12/1/2023	4-Wheelers	MG Motor	753"
"1/1/2022	4-Wheelers	MG Motor	48"
"1/1/2023	4-Wheelers	MG Motor	313"
"1/1/2024	4-Wheelers	MG Motor	908"
"2/1/2022	4-Wheelers	MG Motor	30"
"2/1/2023	4-Wheelers	MG Motor	261"
"2/1/2024	4-Wheelers	MG Motor	829"
"3/1/2022	4-Wheelers	MG Motor	75"
"3/1/2023	4-Wheelers	MG Motor	372"
"3/1/2024	4-Wheelers	MG Motor	885"
"4/1/2022	2-Wheelers	OKAYA EV	0"
"4/1/2023	2-Wheelers	OKAYA EV	1544"
"5/1/2022	2-Wheelers	OKAYA EV	19"
"5/1/2023	2-Wheelers	OKAYA EV	3831"
"6/1/2022	2-Wheelers	OKAYA EV	760"
"6/1/2023	2-Wheelers	OKAYA EV	419"
"7/1/2022	2-Wheelers	OKAYA EV	1076"
"7/1/2023	2-Wheelers	OKAYA EV	775"
"8/1/2022	2-Wheelers	OKAYA EV	905"
"8/1/2023	2-Wheelers	OKAYA EV	1137"
"9/1/2022	2-Wheelers	OKAYA EV	954"
"9/1/2023	2-Wheelers	OKAYA EV	873"
"10/1/2022	2-Wheelers	OKAYA EV	1968"
"10/1/2023	2-Wheelers	OKAYA EV	863"
"11/1/2022	2-Wheelers	OKAYA EV	1783"
"11/1/2023	2-Wheelers	OKAYA EV	1281"
"12/1/2022	2-Wheelers	OKAYA EV	1445"
"12/1/2023	2-Wheelers	OKAYA EV	700"
"1/1/2023	2-Wheelers	OKAYA EV	1265"
"1/1/2024	2-Wheelers	OKAYA EV	574"
"2/1/2023	2-Wheelers	OKAYA EV	1232"
"2/1/2024	2-Wheelers	OKAYA EV	649"
"3/1/2023	2-Wheelers	OKAYA EV	1765"
"3/1/2024	2-Wheelers	OKAYA EV	1218"
"4/1/2021	2-Wheelers	OKINAWA	1251"
"4/1/2022	2-Wheelers	OKINAWA	11341"
"4/1/2023	2-Wheelers	OKINAWA	3179"
"5/1/2021	2-Wheelers	OKINAWA	245"
"5/1/2022	2-Wheelers	OKINAWA	10340"
"5/1/2023	2-Wheelers	OKINAWA	2873"
"6/1/2021	2-Wheelers	OKINAWA	984"
